Episode,Trough_Date,Maximum_Drawdown,Last_Drawdown_Date,Recovery_Date,Recovered,Recovery_Calendar_Days,Recovery_Trading_Days
64,2005-11-30,-0.026413878343073183,2005-11-30,2005-12-01,True,1.0,1.0
65,2005-12-05,-0.01115246205292908,2005-12-05,2005-12-06,True,1.0,1.0
66,2005-12-07,-0.0013506530973412811,2005-12-07,2005-12-08,True,1.0,1.0
67,2005-12-16,-0.051613369628369266,2006-01-05,2006-01-06,True,21.0,13.0
68,2006-01-09,-0.0032772163103803598,2006-01-09,2006-01-10,True,1.0,1.0
69,2006-07-14,-0.40799162021787283,2006-11-15,2006-11-16,True,125.0,88.0
70,2006-11-27,-0.022809067254516924,2006-11-27,2006-11-28,True,1.0,1.0
71,2006-12-28,-0.11915913187613403,2007-01-08,2007-01-09,True,12.0,6.0
72,2007-01-12,-0.024536549331672708,2007-01-12,2007-01-16,True,4.0,1.0
73,2007-02-09,-0.14243036114170027,2007-04-25,2007-04-26,True,76.0,52.0
74,2007-05-01,-0.0045037990907519365,2007-05-01,2007-05-02,True,1.0,1.0
75,2007-05-16,-0.018470875166372247,2007-05-16,2007-05-17,True,1.0,1.0
76,2007-05-24,-0.02510123492639016,2007-05-24,2007-05-25,True,1.0,1.0
77,2007-06-01,-0.02302172147693793,2007-06-01,2007-06-04,True,3.0,1.0
78,2007-06-13,-0.0561487163318366,2007-06-15,2007-06-18,True,5.0,3.0
79,2007-06-26,-0.04348878372364173,2007-07-02,2007-07-03,True,7.0,5.0
80,2007-07-09,-0.018229859401343806,2007-07-11,2007-07-12,True,3.0,3.0
81,2007-07-18,-0.0056872755902439565,2007-07-18,2007-07-19,True,1.0,1.0
82,2007-07-24,-0.06163501031305618,2007-07-25,2007-07-26,True,2.0,2.0
83,2007-08-16,-0.19828756861868102,2007-09-21,2007-09-24,True,39.0,26.0
84,2007-09-26,-0.0026768748713993373,2007-09-26,2007-09-27,True,1.0,1.0
85,2007-09-28,-0.006666584803930342,2007-09-28,2007-10-01,True,3.0,1.0
86,2007-10-04,-0.013947978365168923,2007-10-04,2007-10-05,True,1.0,1.0
87,2007-10-11,-0.033827720635869474,2007-10-15,2007-10-16,True,5.0,3.0
88,2007-10-19,-0.017752237774902868,2007-10-19,2007-10-22,True,3.0,1.0
89,2007-10-25,-0.01815670876917974,2007-10-29,2007-10-30,True,5.0,3.0
90,2007-11-05,-0.019847295184630687,2007-11-05,2007-11-06,True,1.0,1.0
91,2007-11-12,-0.19828944803568738,2007-12-06,2007-12-07,True,25.0,18.0
92,2007-12-18,-0.058260222072250456,2007-12-21,2007-12-24,True,6.0,4.0
93,2007-12-27,-0.001909986315571044,2007-12-27,2007-12-28,True,1.0,1.0
94,2009-01-20,-0.6086674479332669,2009-10-20,2009-10-21,True,274.0,191.0
95,2009-10-30,-0.08138406890432737,2009-11-13,2009-11-16,True,17.0,11.0
96,2009-12-07,-0.08719814868712716,2009-12-23,2009-12-24,True,17.0,13.0
97,2009-12-29,-0.011861453342953632,2009-12-29,2009-12-30,True,1.0,1.0
98,2009-12-31,-0.00429969456417334,2009-12-31,2010-01-04,True,4.0,1.0
99,2010-01-15,-0.039416086729252675,2010-01-15,2010-01-19,True,4.0,1.0
100,2010-02-04,-0.10691037152538274,2010-03-04,2010-03-05,True,29.0,20.0
101,2010-03-19,-0.01919689703341787,2010-03-22,2010-03-23,True,4.0,2.0
102,2010-03-25,-0.011858561912005072,2010-03-25,2010-03-26,True,1.0,1.0
103,2010-03-31,-0.0036039665533301735,2010-03-31,2010-04-01,True,1.0,1.0
104,2010-04-08,-0.0027016274701417986,2010-04-08,2010-04-09,True,1.0,1.0
