Year,Year_End_Adj_Close,Annual_Return
1980,0.1164674311876297,
1981,0.0755115002393722,-0.35165136322339985
1982,0.1019624918699264,0.35029090332868895
1983,0.0831909403204917,-0.1841025185357531
1984,0.0994021818041801,0.19486787168452335
1985,0.0750848799943924,-0.24463549359200387
1986,0.1382251232862472,0.8409182154459105
1987,0.2881231307983398,1.0844483545995636
1988,0.2784653306007385,-0.03351969753640105
1989,0.2462682425975799,-0.115623327089585
1990,0.3041436374187469,0.2350095741566629
1991,0.4024771749973297,0.3233128215771175
1992,0.4302946329116821,0.06911561609558836
1993,0.2132418006658554,-0.5044283977633919
1994,0.2883270978927612,0.35211340831135907
1995,0.2383422702550888,-0.17336153279725186
1996,0.1560909450054168,-0.34509751527348254
1997,0.0981413945555687,-0.3712550426793628
1998,0.3061059713363647,2.119030178066649
1999,0.7687712907791138,1.511454733871719
2000,0.2224528342485427,-0.7106384734748652
2001,0.3275101482868194,0.472267815301908
2002,0.2143026292324066,-0.3456611028592327
2003,0.3195843398571014,0.4912758700245299
2004,0.9630900025367736,2.0135706992633264
2005,2.1502037048339844,1.2326093087565648
2006,2.5375335216522217,0.18013633589573907
2007,5.924498558044434,1.3347469136829035
2008,2.552787065505981,-0.569113395759082
2009,6.302857398986816,1.469010237537201
2010,9.647649765014648,0.5306787309777161
2011,12.113394737243652,0.25557985958098883
2012,16.058361053466797,0.32566975664501485
2013,17.354190826416016,0.080695020409288
2014,24.403898239135746,0.406225071697891
2015,23.668432235717773,-0.03013723447832317
2016,26.622358322143555,0.12480446769803555
2017,39.52470397949219,0.4846432273664092
2018,37.394229888916016,-0.05390234147437489
2019,70.65935516357422,0.8895790974563775
2020,128.8167266845703,0.8230668308020017
2021,173.44940185546875,0.346481985062306
2022,127.65151977539062,-0.26404174122341684
2023,190.2110290527344,0.490080411008192
2024,248.6157989501953,0.3070524889556676
2025,271.1220092773437,0.09052606641324923
2026,308.260009765625,0.13697892173073667
