Episode,Start_Date,Last_Drawdown_Date,Trading_Days_In_Drawdown,Maximum_Drawdown,Trough_Date,Calendar_Days_In_Drawdown,Ongoing
70,2006-11-27,2006-11-27,1,-0.022809067254516924,2006-11-27,0,False
71,2006-11-29,2007-01-08,26,-0.11915913187613403,2006-12-28,40,False
72,2007-01-11,2007-01-12,2,-0.024536549331672708,2007-01-12,1,False
73,2007-01-17,2007-04-25,69,-0.14243036114170027,2007-02-09,98,False
74,2007-04-30,2007-05-01,2,-0.0045037990907519365,2007-05-01,1,False
75,2007-05-15,2007-05-16,2,-0.018470875166372247,2007-05-16,1,False
76,2007-05-23,2007-05-24,2,-0.02510123492639016,2007-05-24,1,False
77,2007-06-01,2007-06-01,1,-0.02302172147693793,2007-06-01,0,False
78,2007-06-11,2007-06-15,5,-0.0561487163318366,2007-06-13,4,False
79,2007-06-19,2007-07-02,10,-0.04348878372364173,2007-06-26,13,False
80,2007-07-06,2007-07-11,4,-0.018229859401343806,2007-07-09,5,False
81,2007-07-18,2007-07-18,1,-0.0056872755902439565,2007-07-18,0,False
82,2007-07-23,2007-07-25,3,-0.06163501031305618,2007-07-24,2,False
83,2007-07-27,2007-09-21,40,-0.19828756861868102,2007-08-16,56,False
84,2007-09-26,2007-09-26,1,-0.0026768748713993373,2007-09-26,0,False
85,2007-09-28,2007-09-28,1,-0.006666584803930342,2007-09-28,0,False
86,2007-10-03,2007-10-04,2,-0.013947978365168923,2007-10-04,1,False
87,2007-10-09,2007-10-15,5,-0.033827720635869474,2007-10-11,6,False
88,2007-10-19,2007-10-19,1,-0.017752237774902868,2007-10-19,0,False
89,2007-10-24,2007-10-29,4,-0.01815670876917974,2007-10-25,5,False
90,2007-11-01,2007-11-05,3,-0.019847295184630687,2007-11-05,4,False
91,2007-11-07,2007-12-06,21,-0.19828944803568738,2007-11-12,29,False
92,2007-12-10,2007-12-21,10,-0.058260222072250456,2007-12-18,11,False
93,2007-12-27,2007-12-27,1,-0.001909986315571044,2007-12-27,0,False
94,2007-12-31,2009-10-20,456,-0.6086674479332669,2009-01-20,659,False
95,2009-10-23,2009-11-13,16,-0.08138406890432737,2009-10-30,21,False
96,2009-11-18,2009-12-23,25,-0.08719814868712716,2009-12-07,35,False
97,2009-12-29,2009-12-29,1,-0.011861453342953632,2009-12-29,0,False
98,2009-12-31,2009-12-31,1,-0.00429969456417334,2009-12-31,0,False
99,2010-01-06,2010-01-15,8,-0.039416086729252675,2010-01-15,9,False
100,2010-01-20,2010-03-04,31,-0.10691037152538274,2010-02-04,43,False
101,2010-03-15,2010-03-22,6,-0.01919689703341787,2010-03-19,7,False
102,2010-03-25,2010-03-25,1,-0.011858561912005072,2010-03-25,0,False
103,2010-03-31,2010-03-31,1,-0.0036039665533301735,2010-03-31,0,False
104,2010-04-08,2010-04-08,1,-0.0027016274701417986,2010-04-08,0,False
105,2010-04-16,2010-04-20,3,-0.01739531090943114,2010-04-20,4,False
106,2010-04-26,2010-06-16,37,-0.12912202441394816,2010-05-07,51,False
107,2010-06-21,2010-09-15,61,-0.12456689677862642,2010-08-24,86,False
108,2010-09-17,2010-09-17,1,-0.004337712318768672,2010-09-17,0,False
109,2010-09-27,2010-10-07,9,-0.04679820176823579,2010-10-04,10,False
110,2010-10-19,2010-11-03,12,-0.05352142530484216,2010-10-29,15,False
111,2010-11-05,2010-11-05,1,-0.0035824357958661457,2010-11-05,0,False
112,2010-11-09,2010-12-03,18,-0.05687016735973727,2010-11-17,24,False
113,2010-12-07,2010-12-07,1,-0.006059531043170363,2010-12-07,0,False
114,2010-12-09,2010-12-10,2,-0.0038945390336431185,2010-12-09,1,False
115,2010-12-14,2010-12-17,4,-0.004290380331515964,2010-12-14,3,False
116,2010-12-23,2010-12-27,2,-0.004797585056991016,2010-12-23,4,False
117,2010-12-29,2010-12-31,3,-0.008941117275713562,2010-12-31,2,False
118,2011-01-06,2011-01-06,1,-0.0008082991617631707,2011-01-06,0,False
119,2011-01-11,2011-01-11,1,-0.0023655284240967633,2011-01-11,0,False
120,2011-01-18,2011-02-04,14,-0.062443282746590945,2011-01-21,17,False
121,2011-02-10,2011-02-11,2,-0.010107274223054241,2011-02-10,1,False
122,2011-02-17,2011-07-14,102,-0.13166098177891472,2011-06-20,147,False
123,2011-07-27,2011-09-16,37,-0.12443896017958966,2011-08-08,51,False
124,2011-09-21,2011-10-13,17,-0.10557532264807523,2011-10-07,22,False
125,2011-10-17,2011-10-17,1,-0.0047629834328448695,2011-10-17,0,False
126,2011-10-19,2012-01-05,54,-0.13894933815417165,2011-11-25,78,False
127,2012-01-09,2012-01-09,1,-0.0015862579665792964,2012-01-09,0,False
128,2012-01-11,2012-01-13,3,-0.008104190231126185,2012-01-13,2,False
129,2012-01-19,2012-01-24,4,-0.020530512442107907,2012-01-20,5,False
130,2012-01-26,2012-01-26,1,-0.0045445644939888785,2012-01-26,0,False
131,2012-02-01,2012-02-02,2,-0.002979736201248806,2012-02-02,1,False
132,2012-02-15,2012-02-17,3,-0.02314201759299539,2012-02-15,2,False
133,2012-02-22,2012-02-22,1,-0.0035150825952752207,2012-02-22,0,False
134,2012-03-05,2012-03-09,5,-0.027367234717999733,2012-03-06,4,False
135,2012-03-15,2012-03-16,2,-0.006818125770386763,2012-03-15,1,False
136,2012-03-21,2012-03-23,3,-0.016354286967526943,2012-03-23,2,False
