Date,Adj Close,Daily_Return
2000-09-29,0.385086178779602,-0.5186920218488047
1983-09-23,0.0827642753720283,-0.2538443686689994
1987-10-19,0.2498479336500167,-0.2435235061144304
1993-07-16,0.1988905966281891,-0.2307673422134231
1987-10-26,0.1916640251874923,-0.21126699328706322
2008-09-29,3.1482880115509038,-0.17919519852379306
1997-01-06,0.1336585283279419,-0.17815991430560718
2001-07-18,0.310910701751709,-0.17171209040667634
2000-12-06,0.214040532708168,-0.1580880133420972
2002-06-19,0.2560261189937591,-0.1503726189066874
