Date,Adj Close,Daily_Return
1997-08-06,0.1967492550611496,0.3322804811846787
1998-01-02,0.1215076074004173,0.23808723068040782
1996-07-18,0.1560909450054168,0.23703424566861475
1998-01-06,0.1416035145521164,0.1929148558892202
1993-10-15,0.2052136808633804,0.18947047121287985
1987-10-29,0.2703836858272552,0.17910730481313086
1987-10-21,0.2772282063961029,0.1739115784989056
2025-04-09,197.6343994140625,0.1532885035937399
1997-07-11,0.1135633662343025,0.14622491888479838
1999-10-14,0.5472529530525208,0.1429959854881262
